name,age_group,ethnicity,experience,qualification_score,decision
Tina Castro,18-25,African American,8.7,67.3,Rejected
Jason Johnson,18-25,Hispanic,5.0,91.1,Accepted
Elizabeth Jones,26-35,East Asian,15.6,94.6,Accepted
Elijah Clark,46-55,South Asian,10.0,97.5,Accepted
Kim Boyd,56+,Caucasian,19.9,98.2,Accepted
Rachel Roberson,56+,Caucasian,12.3,70.0,Rejected
Melissa Lowe,46-55,East Asian,7.6,89.0,Accepted
Timothy Holmes,56+,African American,3.1,89.2,Rejected
Amanda Nguyen,56+,South Asian,17.2,90.8,Accepted
Ashley Braun,26-35,Caucasian,6.6,77.0,Rejected
Jennifer Roberts,56+,Caucasian,1.7,93.6,Accepted
Jacqueline Reid,56+,Caucasian,10.1,76.9,Rejected
Mrs. Karen Henderson,26-35,Hispanic,1.5,93.1,Accepted
Briana Bartlett,46-55,Middle Eastern,14.5,78.4,Rejected
Heather Carter,26-35,East Asian,12.5,89.8,Accepted
Laura Haney,46-55,African American,16.6,86.5,Rejected
Deborah Lopez,46-55,Hispanic,3.0,93.7,Accepted
Crystal Thompson,36-45,South Asian,5.7,93.3,Accepted
Jennifer Lopez,26-35,Caucasian,8.9,65.2,Rejected
Brittany Peterson,56+,Middle Eastern,15.9,82.9,Rejected
Joseph Ayers,26-35,Middle Eastern,16.1,83.6,Rejected
Daniel Vasquez,26-35,African American,15.9,87.1,Rejected
Anna Williams,26-35,African American,10.7,97.3,Accepted
Cynthia Blair,26-35,Caucasian,15.0,66.8,Rejected
Amy Johnson,46-55,South Asian,18.1,95.1,Accepted
Gail Payne,56+,Caucasian,16.4,66.0,Rejected
Maria Vang,26-35,South Asian,18.8,96.3,Accepted
Jake Rodriguez,26-35,Hispanic,14.5,84.1,Rejected
Ashlee Hernandez,18-25,Middle Eastern,10.1,89.0,Accepted
Grant Ramirez,26-35,Caucasian,8.0,76.8,Rejected
Cassandra Gomez,56+,Caucasian,12.1,76.1,Rejected
Scott Shaw,26-35,African American,5.4,75.8,Rejected
Richard Stewart,18-25,South Asian,3.7,90.3,Accepted
Sydney Martin,46-55,African American,10.6,89.4,Rejected
Terrance Freeman,56+,South Asian,10.1,87.6,Accepted
Julian Bryant,18-25,South Asian,1.8,81.2,Accepted
Sean Johnson,18-25,East Asian,9.0,78.0,Rejected
James Martinez,46-55,African American,9.9,81.0,Rejected
Douglas Johnson,46-55,Middle Eastern,1.8,98.4,Accepted
Ashley Bowen,56+,Hispanic,2.4,70.9,Rejected
Jared Knight,36-45,African American,11.6,83.7,Rejected
Michelle King,36-45,Middle Eastern,12.0,94.2,Accepted
Lori Levy,46-55,Hispanic,7.0,80.4,Rejected
William Roman,36-45,Caucasian,11.1,78.0,Rejected
Anthony Case,18-25,East Asian,10.8,85.8,Accepted
Christopher Grant,18-25,Hispanic,4.1,81.4,Rejected
Daniel Lindsey,26-35,Hispanic,9.5,76.0,Rejected
Jason Mullen,56+,Caucasian,13.2,71.6,Rejected
Carlos Allen,56+,Caucasian,7.0,83.5,Accepted
Dennis Long,46-55,Middle Eastern,1.6,77.9,Rejected
Jason Williams,46-55,East Asian,8.6,79.0,Rejected
Todd Burnett,26-35,Caucasian,10.2,75.4,Rejected
Jacqueline Carter,26-35,East Asian,2.4,78.4,Rejected
Stacy Palmer,26-35,Middle Eastern,1.7,66.4,Rejected
Lindsay Oliver,26-35,Middle Eastern,13.7,77.6,Rejected
April Avery,56+,African American,15.2,82.0,Rejected
Savannah Ferguson,36-45,African American,1.6,83.9,Rejected
Sandra Walsh,18-25,African American,16.2,86.3,Rejected
Penny Hall,26-35,Hispanic,6.4,95.6,Accepted
Christy Ellis,18-25,Middle Eastern,14.4,84.3,Rejected
Anthony Merritt,26-35,South Asian,10.1,92.8,Accepted
Deborah Hood,56+,African American,4.7,70.8,Rejected
Steven Schneider,56+,East Asian,3.4,88.5,Accepted
Ryan Holmes,46-55,South Asian,16.0,76.6,Rejected
Jennifer Norton,56+,East Asian,1.3,89.0,Accepted
Stephanie Hart,46-55,African American,11.7,65.0,Rejected
Thomas White,26-35,South Asian,5.2,68.0,Rejected
Corey Thomas,36-45,African American,18.9,86.2,Rejected
Rachel Avery,56+,South Asian,18.4,93.0,Accepted
Walter Murphy,46-55,East Asian,13.0,81.1,Rejected
Ronald Martin,36-45,South Asian,12.5,67.7,Rejected
Brittany Lloyd,26-35,African American,9.7,92.3,Accepted
Stephanie Cunningham,46-55,East Asian,2.2,66.9,Rejected
Erica Butler,18-25,South Asian,6.4,70.0,Rejected
Steven Williams MD,56+,South Asian,8.7,81.4,Rejected
Reginald Dickson DDS,26-35,East Asian,2.4,88.4,Accepted
Mary Ellison,36-45,Caucasian,4.3,73.3,Rejected
Wanda Palmer,46-55,East Asian,15.3,66.6,Rejected
Tyler Koch,46-55,South Asian,14.6,80.3,Rejected
Stacey Conway,36-45,Hispanic,9.1,80.2,Rejected
Daniel Ashley,26-35,Middle Eastern,12.0,84.0,Rejected
John Coleman,46-55,Hispanic,6.3,78.7,Rejected
Jesse Hale,26-35,South Asian,2.2,72.5,Rejected
Brittany Branch,46-55,South Asian,6.4,98.0,Accepted
Evan Cunningham,56+,Hispanic,10.8,92.3,Accepted
Cory Ware,18-25,East Asian,6.4,75.3,Rejected
Mr. Matthew Smith,46-55,South Asian,3.8,68.8,Rejected
George Waters,36-45,Middle Eastern,6.0,95.0,Accepted
Corey Elliott,46-55,Caucasian,18.0,94.0,Accepted
Rebekah Baker,36-45,Middle Eastern,9.6,71.7,Rejected
Tristan Garrett,26-35,Hispanic,7.1,97.2,Accepted
Luke Webb,56+,Middle Eastern,16.4,98.4,Accepted
Edward Robinson,46-55,East Asian,17.1,77.1,Rejected
Glen Maxwell,46-55,Hispanic,5.9,71.2,Rejected
Abigail Taylor,26-35,Middle Eastern,10.8,77.8,Rejected
Elizabeth Robinson,36-45,Hispanic,1.4,71.5,Rejected
Angela Reid,18-25,South Asian,4.9,78.2,Rejected
Ryan Hart,56+,Caucasian,16.1,91.2,Accepted
